"SeriesName","LookupTicker","Type","Index","Source","StartRange","EndRange","Frequency"
"HSP","HSP","equity","SP500","yahoo","NULL","NULL","d"
"HST","HST","equity","SP500","yahoo","NULL","NULL","d"
"HCBK","HCBK","equity","SP500","yahoo","NULL","NULL","d"
"HUM","HUM","equity","SP500","yahoo","NULL","NULL","d"
"HBAN","HBAN","equity","SP500","yahoo","NULL","NULL","d"
"ITW","ITW","equity","SP500","yahoo","NULL","NULL","d"
"TEG","TEG","equity","SP500","yahoo","NULL","NULL","d"
"INTC","INTC","equity","SP500","yahoo","NULL","NULL","d"
"ICE","ICE","equity","SP500","yahoo","NULL","NULL","d"
"IBM","IBM","equity","SP500","yahoo","NULL","NULL","d"
"IFF","IFF","equity","SP500","yahoo","NULL","NULL","d"
"IGT","IGT","equity","SP500","yahoo","NULL","NULL","d"
"IP","IP","equity","SP500","yahoo","NULL","NULL","d"
"IPG","IPG","equity","SP500","yahoo","NULL","NULL","d"
"INTU","INTU","equity","SP500","yahoo","NULL","NULL","d"
"ISRG","ISRG","equity","SP500","yahoo","NULL","NULL","d"
"IVZ","IVZ","equity","SP500","yahoo","NULL","NULL","d"
"IRM","IRM","equity","SP500","yahoo","NULL","NULL","d"
"ITT","ITT","equity","SP500","yahoo","NULL","NULL","d"
"JBL","JBL","equity","SP500","yahoo","NULL","NULL","d"
"JEC","JEC","equity","SP500","yahoo","NULL","NULL","d"
"JNS","JNS","equity","SP500","yahoo","NULL","NULL","d"
"JDSU","JDSU","equity","SP500","yahoo","NULL","NULL","d"
"JNJ","JNJ","equity","SP500","yahoo","NULL","NULL","d"
"JCI","JCI","equity","SP500","yahoo","NULL","NULL","d"
"JPM","JPM","equity","SP500","yahoo","NULL","NULL","d"
"JNPR","JNPR","equity","SP500","yahoo","NULL","NULL","d"
"K","K","equity","SP500","yahoo","NULL","NULL","d"
"KEY","KEY","equity","SP500","yahoo","NULL","NULL","d"
"KMB","KMB","equity","SP500","yahoo","NULL","NULL","d"
"KIM","KIM","equity","SP500","yahoo","NULL","NULL","d"
"KG","KG","equity","SP500","yahoo","NULL","NULL","d"
"KLAC","KLAC","equity","SP500","yahoo","NULL","NULL","d"
"KSS","KSS","equity","SP500","yahoo","NULL","NULL","d"
"KFT","KFT","equity","SP500","yahoo","NULL","NULL","d"
"KR","KR","equity","SP500","yahoo","NULL","NULL","d"
"LLL","LLL","equity","SP500","yahoo","NULL","NULL","d"
"LH","LH","equity","SP500","yahoo","NULL","NULL","d"
"LM","LM","equity","SP500","yahoo","NULL","NULL","d"
"LEG","LEG","equity","SP500","yahoo","NULL","NULL","d"
"LEN","LEN","equity","SP500","yahoo","NULL","NULL","d"
"LUK","LUK","equity","SP500","yahoo","NULL","NULL","d"
"LXK","LXK","equity","SP500","yahoo","NULL","NULL","d"
"LIFE","LIFE","equity","SP500","yahoo","NULL","NULL","d"
"LLY","LLY","equity","SP500","yahoo","NULL","NULL","d"
"LTD","LTD","equity","SP500","yahoo","NULL","NULL","d"
"LNC","LNC","equity","SP500","yahoo","NULL","NULL","d"
"LLTC","LLTC","equity","SP500","yahoo","NULL","NULL","d"
"LMT","LMT","equity","SP500","yahoo","NULL","NULL","d"
"L","L","equity","SP500","yahoo","NULL","NULL","d"
"LO","LO","equity","SP500","yahoo","NULL","NULL","d"
"LOW","LOW","equity","SP500","yahoo","NULL","NULL","d"
"LSI","LSI","equity","SP500","yahoo","NULL","NULL","d"
"MTB","MTB","equity","SP500","yahoo","NULL","NULL","d"
"M","M","equity","SP500","yahoo","NULL","NULL","d"
"MRO","MRO","equity","SP500","yahoo","NULL","NULL","d"
"MAR","MAR","equity","SP500","yahoo","NULL","NULL","d"
"MMC","MMC","equity","SP500","yahoo","NULL","NULL","d"
"MI","MI","equity","SP500","yahoo","NULL","NULL","d"
"MAS","MAS","equity","SP500","yahoo","NULL","NULL","d"
"MEE","MEE","equity","SP500","yahoo","NULL","NULL","d"
"MA","MA","equity","SP500","yahoo","NULL","NULL","d"
"MAT","MAT","equity","SP500","yahoo","NULL","NULL","d"
"MFE","MFE","equity","SP500","yahoo","NULL","NULL","d"
"MKC","MKC","equity","SP500","yahoo","NULL","NULL","d"
"MCD","MCD","equity","SP500","yahoo","NULL","NULL","d"
"MHP","MHP","equity","SP500","yahoo","NULL","NULL","d"
"MCK","MCK","equity","SP500","yahoo","NULL","NULL","d"
"MJN","MJN","equity","SP500","yahoo","NULL","NULL","d"
"MWV","MWV","equity","SP500","yahoo","NULL","NULL","d"
"MHS","MHS","equity","SP500","yahoo","NULL","NULL","d"
"MDT","MDT","equity","SP500","yahoo","NULL","NULL","d"
"WFR","WFR","equity","SP500","yahoo","NULL","NULL","d"
"MRK","MRK","equity","SP500","yahoo","NULL","NULL","d"
"MDP","MDP","equity","SP500","yahoo","NULL","NULL","d"
"MET","MET","equity","SP500","yahoo","NULL","NULL","d"
"PCS","PCS","equity","SP500","yahoo","NULL","NULL","d"
"MCHP","MCHP","equity","SP500","yahoo","NULL","NULL","d"
"MU","MU","equity","SP500","yahoo","NULL","NULL","d"
"MSFT","MSFT","equity","SP500","yahoo","NULL","NULL","d"
"MOLX","MOLX","equity","SP500","yahoo","NULL","NULL","d"
"TAP","TAP","equity","SP500","yahoo","NULL","NULL","d"
"MON","MON","equity","SP500","yahoo","NULL","NULL","d"
"MWW","MWW","equity","SP500","yahoo","NULL","NULL","d"
"MCO","MCO","equity","SP500","yahoo","NULL","NULL","d"
"MS","MS","equity","SP500","yahoo","NULL","NULL","d"
"MUR","MUR","equity","SP500","yahoo","NULL","NULL","d"
"MYL","MYL","equity","SP500","yahoo","NULL","NULL","d"
"NBR","NBR","equity","SP500","yahoo","NULL","NULL","d"
"NDAQ","NDAQ","equity","SP500","yahoo","NULL","NULL","d"
"NOV","NOV","equity","SP500","yahoo","NULL","NULL","d"
"NSM","NSM","equity","SP500","yahoo","NULL","NULL","d"
"NTAP","NTAP","equity","SP500","yahoo","NULL","NULL","d"
"NYT","NYT","equity","SP500","yahoo","NULL","NULL","d"
"NWL","NWL","equity","SP500","yahoo","NULL","NULL","d"
"NEM","NEM","equity","SP500","yahoo","NULL","NULL","d"
"NWSA","NWSA","equity","SP500","yahoo","NULL","NULL","d"
"NEE","NEE","equity","SP500","yahoo","NULL","NULL","d"
"GAS","GAS","equity","SP500","yahoo","NULL","NULL","d"
"NKE","NKE","equity","SP500","yahoo","NULL","NULL","d"
"NI","NI","equity","SP500","yahoo","NULL","NULL","d"
"NBL","NBL","equity","SP500","yahoo","NULL","NULL","d"
"JWN","JWN","equity","SP500","yahoo","NULL","NULL","d"
"NSC","NSC","equity","SP500","yahoo","NULL","NULL","d"
"NTRS","NTRS","equity","SP500","yahoo","NULL","NULL","d"
"NOC","NOC","equity","SP500","yahoo","NULL","NULL","d"
"NU","NU","equity","SP500","yahoo","NULL","NULL","d"
"NOVL","NOVL","equity","SP500","yahoo","NULL","NULL","d"
"NVLS","NVLS","equity","SP500","yahoo","NULL","NULL","d"
"NRG","NRG","equity","SP500","yahoo","NULL","NULL","d"
