Spot, Strike, Vol, Expiry, BSC_An_price, MC_price, numberPaths 
40,58,0.0100001,0.4,1e-07,1e-07,10000,
40,58,0.0100001,0.6,1e-07,1e-07,10000,
40,58,0.0100001,0.8,1e-07,1e-07,10000,
40,58,0.0100001,1,1e-07,1e-07,10000,
40,58,0.0480001,1e-07,1e-07,1e-07,10000,
40,58,0.0480001,0.2,1e-07,1e-07,10000,
40,58,0.0480001,0.4,1e-07,1e-07,10000,
40,58,0.0480001,0.6,1e-07,1e-07,10000,
40,58,0.0480001,0.8,1e-07,1e-07,10000,
40,58,0.0480001,1,1.00003e-07,1e-07,10000,
40,58,0.0860001,1e-07,1e-07,1e-07,10000,
40,58,0.0860001,0.2,1e-07,1e-07,10000,
40,58,0.0860001,0.4,1.00019e-07,1e-07,10000,
40,58,0.0860001,0.6,1.84034e-07,5.73647e-05,10000,
40,58,0.0860001,0.8,6.34166e-06,0.000437144,10000,
40,58,0.0860001,1,8.87911e-05,0.00150487,10000,
40,58,0.124,1e-07,1e-07,1e-07,10000,
40,58,0.124,0.2,1.00014e-07,1e-07,10000,
40,58,0.124,0.4,2.90897e-06,0.000363762,10000,
40,58,0.124,0.6,0.00021247,0.00244106,10000,
40,58,0.124,0.8,0.00207272,0.00692003,10000,
40,58,0.124,1,0.00869684,0.0164993,10000,
40,58,0.162,1e-07,1e-07,1e-07,10000,
40,58,0.162,0.2,2.93779e-07,0.000120246,10000,
40,58,0.162,0.4,0.000373923,0.00324486,10000,
40,58,0.162,0.6,0.00586221,0.0130726,10000,
40,58,0.162,0.8,0.0258668,0.0382799,10000,
40,58,0.162,1,0.0670958,0.0838295,10000,
40,58,0.2,1e-07,1e-07,1e-07,10000,
40,58,0.2,0.2,2.53647e-05,0.000931982,10000,
40,58,0.2,0.4,0.00490961,0.0118179,10000,
40,58,0.2,0.6,0.0353515,0.049767,10000,
40,58,0.2,0.8,0.104935,0.124296,10000,
40,58,0.2,1,0.213588,0.235738,10000,
40.5,42,0.0100001,1e-07,1e-07,1e-07,10000,
40.5,42,0.0100001,0.2,1.00054e-07,1e-07,10000,
40.5,42,0.0100001,0.4,0.000392837,0.000674445,10000,
40.5,42,0.0100001,0.6,0.0363818,0.036075,10000,
40.5,42,0.0100001,0.8,0.229408,0.228665,10000,
40.5,42,0.0100001,1,0.56435,0.5647,10000,
40.5,42,0.0480001,1e-07,1e-07,1e-07,10000,
40.5,42,0.0480001,0.2,0.0466161,0.0471327,10000,
40.5,42,0.0480001,0.4,0.230531,0.22883,10000,
40.5,42,0.0480001,0.6,0.482075,0.477301,10000,
40.5,42,0.0480001,0.8,0.768254,0.761968,10000,
40.5,42,0.0480001,1,1.07525,1.06984,10000,
40.5,42,0.0860001,1e-07,1e-07,1e-07,10000,
40.5,42,0.0860001,0.2,0.231044,0.229288,10000,
40.5,42,0.0860001,0.4,0.59158,0.586333,10000,
40.5,42,0.0860001,0.6,0.955122,0.946062,10000,
40.5,42,0.0860001,0.8,1.31507,1.30371,10000,
40.5,42,0.0860001,1,1.67115,1.65943,10000,
40.5,42,0.124,1e-07,1e-07,1e-07,10000,
40.5,42,0.124,0.2,0.467496,0.464133,10000,
40.5,42,0.124,0.4,0.970772,0.961916,10000,
40.5,42,0.124,0.6,1.43031,1.41731,10000,
40.5,42,0.124,0.8,1.86219,1.8462,10000,
40.5,42,0.124,1,2.27482,2.25734,10000,
40.5,42,0.162,1e-07,1e-07,1e-07,10000,
40.5,42,0.162,0.2,0.722546,0.71685,10000,
40.5,42,0.162,0.4,1.35541,1.3432,10000,
40.5,42,0.162,0.6,1.90588,1.88928,10000,
40.5,42,0.162,0.8,2.409,2.38896,10000,
40.5,42,0.162,1,2.88025,2.85799,10000,
