Spot, Strike, Vol, Expiry, BSC_An_Vega, BSC_Bumped_Vega, MC_Results, NumberOfPaths 
41.5,50,0.2,1,13.9796,13.9797,1.3022,10000,
42,50,0.0100001,1e-07,1e-07,1e-07,1e-07,10000,
42,50,0.0100001,0.2,1e-07,1e-07,1e-07,10000,
42,50,0.0100001,0.4,1e-07,1e-07,1e-07,10000,
42,50,0.0100001,0.6,1e-07,1e-07,1e-07,10000,
42,50,0.0100001,0.8,1e-07,1e-07,1e-07,10000,
42,50,0.0100001,1,1e-07,1e-07,1e-07,10000,
42,50,0.0480001,1e-07,1e-07,1e-07,1e-07,10000,
42,50,0.0480001,0.2,1.00002e-07,1.00002e-07,1e-07,10000,
42,50,0.0480001,0.4,2.79626e-05,2.77887e-05,3.18974e-05,10000,
42,50,0.0480001,0.6,0.00743527,0.00742234,0.000438925,10000,
42,50,0.0480001,0.8,0.119732,0.119689,0.00186161,10000,
42,50,0.0480001,1,0.621741,0.621744,0.00574429,10000,
42,50,0.0860001,1e-07,1e-07,1e-07,1e-07,10000,
42,50,0.0860001,0.2,0.000880953,0.000878395,0.000217684,10000,
42,50,0.0860001,0.4,0.204074,0.204052,0.00400317,10000,
42,50,0.0860001,0.6,1.33251,1.33257,0.021293,10000,
42,50,0.0860001,0.8,3.4841,3.48413,0.0626464,10000,
42,50,0.0860001,1,6.26244,6.26237,0.132788,10000,
42,50,0.124,1e-07,1e-07,1e-07,1e-07,10000,
42,50,0.124,0.2,0.10065,0.10063,0.00324705,10000,
42,50,0.124,0.4,1.64894,1.64899,0.0394204,10000,
42,50,0.124,0.6,4.50411,4.50407,0.132987,10000,
42,50,0.124,0.8,7.68348,7.68339,0.277792,10000,
42,50,0.124,1,10.7632,10.7632,0.459322,10000,
42,50,0.162,1e-07,1e-07,1e-07,1e-07,10000,
42,50,0.162,0.2,0.620252,0.620283,0.0186482,10000,
42,50,0.162,0.4,3.67542,3.67539,0.141633,10000,
42,50,0.162,0.6,7.18399,7.18393,0.356108,10000,
42,50,0.162,0.8,10.4003,10.4003,0.620459,10000,
42,50,0.162,1,13.2369,13.237,0.916303,10000,
42,50,0.2,1e-07,1e-07,1e-07,1e-07,10000,
42,50,0.2,0.2,1.50221,1.50224,0.0606336,10000,
42,50,0.2,0.4,5.42616,5.4261,0.314924,10000,
42,50,0.2,0.6,9.01033,9.01034,0.661517,10000,
42,50,0.2,0.8,12.0407,12.0408,1.04667,10000,
42,50,0.2,1,14.6232,14.6233,1.44658,10000,
42.5,50,0.0100001,1e-07,1e-07,1e-07,1e-07,10000,
42.5,50,0.0100001,0.2,1e-07,1e-07,1e-07,10000,
42.5,50,0.0100001,0.4,1e-07,1e-07,1e-07,10000,
42.5,50,0.0100001,0.6,1e-07,1e-07,1e-07,10000,
42.5,50,0.0100001,0.8,1e-07,1e-07,1e-07,10000,
42.5,50,0.0100001,1,1e-07,1e-07,1e-07,10000,
42.5,50,0.0480001,1e-07,1e-07,1e-07,1e-07,10000,
42.5,50,0.0480001,0.2,1.00089e-07,1.00092e-07,1e-07,10000,
42.5,50,0.0480001,0.4,0.000188638,0.000187792,9.06211e-05,10000,
42.5,50,0.0480001,0.6,0.0244656,0.0244407,0.000821694,10000,
42.5,50,0.0480001,0.8,0.274737,0.274704,0.00301253,10000,
42.5,50,0.0480001,1,1.14916,1.14921,0.0101138,10000,
42.5,50,0.0860001,1e-07,1e-07,1e-07,1e-07,10000,
42.5,50,0.0860001,0.2,0.00314768,0.00314151,0.000397068,10000,
42.5,50,0.0860001,0.4,0.371738,0.371736,0.00628237,10000,
42.5,50,0.0860001,0.6,1.93899,1.93906,0.0318593,10000,
42.5,50,0.0860001,0.8,4.53133,4.53132,0.0878598,10000,
42.5,50,0.0860001,1,7.61407,7.61397,0.177389,10000,
42.5,50,0.124,1e-07,1e-07,1e-07,1e-07,10000,
42.5,50,0.124,0.2,0.186286,0.186274,0.00494365,10000,
42.5,50,0.124,0.4,2.20707,2.20711,0.055468,10000,
42.5,50,0.124,0.6,5.41131,5.41124,0.173265,10000,
42.5,50,0.124,0.8,8.74565,8.74559,0.343127,10000,
42.5,50,0.124,1,11.8604,11.8604,0.550346,10000,
42.5,50,0.162,1e-07,1e-07,1e-07,1e-07,10000,
42.5,50,0.162,0.2,0.891823,0.891864,0.0271435,10000,
42.5,50,0.162,0.4,4.37071,4.37065,0.181591,10000,
42.5,50,0.162,0.6,8.01902,8.01898,0.427669,10000,
42.5,50,0.162,0.8,11.2475,11.2475,0.722517,10000,
42.5,50,0.162,1,14.046,14.0461,1.04396,10000,
42.5,50,0.2,1e-07,1e-07,1e-07,1e-07,10000,
42.5,50,0.2,0.2,1.91024,1.91025,0.0816949,10000,
42.5,50,0.2,0.4,6.09178,6.09173,0.379715,10000,
42.5,50,0.2,0.6,9.70414,9.70418,0.763153,10000,
42.5,50,0.2,0.8,12.7013,12.7014,1.17778,10000,
42.5,50,0.2,1,15.2346,15.2346,1.60177,10000,
43,50,0.0100001,1e-07,1e-07,1e-07,1e-07,10000,
43,50,0.0100001,0.2,1e-07,1e-07,1e-07,10000,
43,50,0.0100001,0.4,1e-07,1e-07,1e-07,10000,
43,50,0.0100001,0.6,1e-07,1e-07,1e-07,10000,
43,50,0.0100001,0.8,1e-07,1e-07,1e-07,10000,
43,50,0.0100001,1,1e-07,1e-07,1e-07,10000,
43,50,0.0480001,1e-07,1e-07,1e-07,1e-07,10000,
43,50,0.0480001,0.2,1.03718e-07,1.04067e-07,1e-07,10000,
43,50,0.0480001,0.4,0.00107463,0.00107138,0.000155834,10000,
43,50,0.0480001,0.6,0.0718682,0.0718319,0.00136148,10000,
43,50,0.0480001,0.8,0.579403,0.579407,0.00530856,10000,
43,50,0.0480001,1,1.98652,1.98661,0.0177436,10000,
43,50,0.0860001,1e-07,1e-07,1e-07,1e-07,10000,
43,50,0.0860001,0.2,0.0100968,0.0100845,0.000718945,10000,
43,50,0.0860001,0.4,0.641857,0.641884,0.0101676,10000,
43,50,0.0860001,0.6,2.72339,2.72344,0.047383,10000,
43,50,0.0860001,0.8,5.7402,5.74013,0.121977,10000,
43,50,0.0860001,1,9.06604,9.06595,0.233556,10000,
43,50,0.124,1e-07,1e-07,1e-07,1e-07,10000,
43,50,0.124,0.2,0.32733,0.327336,0.00770418,10000,
43,50,0.124,0.4,2.87892,2.87893,0.0774756,10000,
43,50,0.124,0.6,6.39125,6.39117,0.222887,10000,
43,50,0.124,0.8,9.82902,9.829,0.420353,10000,
43,50,0.124,1,12.9383,12.9384,0.65502,10000,
43,50,0.162,1e-07,1e-07,1e-07,1e-07,10000,
43,50,0.162,0.2,1.24383,1.24386,0.0390211,10000,
43,50,0.162,0.4,5.11945,5.11939,0.23024,10000,
43,50,0.162,0.6,8.86182,8.86182,0.511621,10000,
43,50,0.162,0.8,12.0732,12.0733,0.837159,10000,
43,50,0.162,1,14.8162,14.8163,1.18414,10000,
43,50,0.2,1e-07,1e-07,1e-07,1e-07,10000,
43,50,0.2,0.2,2.38098,2.38097,0.108693,10000,
43,50,0.2,0.4,6.77132,6.77129,0.453969,10000,
43,50,0.2,0.6,10.3826,10.3827,0.876544,10000,
43,50,0.2,0.8,13.3324,13.3325,1.32043,10000,
43,50,0.2,1,15.8094,15.8095,1.76702,10000,
43.5,50,0.0100001,1e-07,1e-07,1e-07,1e-07,10000,
43.5,50,0.0100001,0.2,1e-07,1e-07,1e-07,10000,
43.5,50,0.0100001,0.4,1e-07,1e-07,1e-07,10000,
43.5,50,0.0100001,0.6,1e-07,1e-07,1e-07,10000,
43.5,50,0.0100001,0.8,1e-07,1e-07,1e-07,10000,
43.5,50,0.0100001,1,1e-07,1e-07,1e-07,10000,
43.5,50,0.0480001,1e-07,1e-07,1e-07,1e-07,10000,
43.5,50,0.0480001,0.2,2.10704e-07,2.09396e-07,1e-07,10000,
43.5,50,0.0480001,0.4,0.00518753,0.00517787,0.000328684,10000,
43.5,50,0.0480001,0.6,0.18918,0.189146,0.00223716,10000,
43.5,50,0.0480001,0.8,1.12622,1.12627,0.00989079,10000,
43.5,50,0.0480001,1,3.21897,3.21904,0.0305632,10000,
43.5,50,0.0860001,1e-07,1e-07,1e-07,1e-07,10000,
43.5,50,0.0860001,0.2,0.0291784,0.029159,0.00121899,10000,
43.5,50,0.0860001,0.4,1.05236,1.05241,0.0166721,10000,
43.5,50,0.0860001,0.6,3.69643,3.69643,0.0697659,10000,
43.5,50,0.0860001,0.8,7.0888,7.08871,0.167069,10000,
43.5,50,0.0860001,1,10.5791,10.579,0.30297,10000,
43.5,50,0.124,1e-07,1e-07,1e-07,1e-07,10000,
43.5,50,0.124,0.2,0.546986,0.547013,0.0124867,10000,
43.5,50,0.124,0.4,3.66283,3.66281,0.106672,10000,
43.5,50,0.124,0.6,7.42515,7.42509,0.283598,10000,
43.5,50,0.124,0.8,10.9118,10.9118,0.511577,10000,
43.5,50,0.124,1,13.9773,13.9774,0.774084,10000,
43.5,50,0.162,1e-07,1e-07,1e-07,1e-07,10000,
43.5,50,0.162,0.2,1.6844,1.68443,0.0560158,10000,
43.5,50,0.162,0.4,5.90934,5.90929,0.28912,10000,
43.5,50,0.162,0.6,9.69873,9.69877,0.607966,10000,
43.5,50,0.162,0.8,12.8663,12.8664,0.964464,10000,
43.5,50,0.162,1,15.5393,15.5394,1.33679,10000,
43.5,50,0.2,1e-07,1e-07,1e-07,1e-07,10000,
43.5,50,0.2,0.2,2.91084,2.91081,0.143683,10000,
43.5,50,0.2,0.4,7.45456,7.45456,0.540765,10000,
43.5,50,0.2,0.6,11.0378,11.0379,1.00177,10000,
43.5,50,0.2,0.8,13.9284,13.9284,1.47453,10000,
43.5,50,0.2,1,16.3439,16.3439,1.94263,10000,
44,50,0.0100001,1e-07,1e-07,1e-07,1e-07,10000,
44,50,0.0100001,0.2,1e-07,1e-07,1e-07,10000,
44,50,0.0100001,0.4,1e-07,1e-07,1e-07,10000,
44,50,0.0100001,0.6,1e-07,1e-07,1e-07,10000,
44,50,0.0100001,0.8,1e-07,1e-07,1e-07,10000,
44,50,0.0100001,1,1.00001e-07,1.00001e-07,1e-07,10000,
44,50,0.0480001,1e-07,1e-07,1e-07,1e-07,10000,
