Spot, Strike, Vol, Expiry, BSC_An_Vega, BSC_Bumped_Vega, blank, blank 
42,50,0.0860001,1e-07,1e-07,1e-07,1e-07,
42,50,0.0860001,0.2,0.000880953,0.000878395,1e-07,
42,50,0.0860001,0.4,0.204074,0.204052,1e-07,
42,50,0.0860001,0.6,1.33251,1.33257,1e-07,
42,50,0.0860001,0.8,3.4841,3.48413,1e-07,
42,50,0.0860001,1,6.26244,6.26237,1e-07,
42,50,0.124,1e-07,1e-07,1e-07,1e-07,
42,50,0.124,0.2,0.10065,0.10063,1e-07,
42,50,0.124,0.4,1.64894,1.64899,1e-07,
42,50,0.124,0.6,4.50411,4.50407,1e-07,
42,50,0.124,0.8,7.68348,7.68339,1e-07,
42,50,0.124,1,10.7632,10.7632,1e-07,
42,50,0.162,1e-07,1e-07,1e-07,1e-07,
42,50,0.162,0.2,0.620252,0.620283,1e-07,
42,50,0.162,0.4,3.67542,3.67539,1e-07,
42,50,0.162,0.6,7.18399,7.18393,1e-07,
42,50,0.162,0.8,10.4003,10.4003,1e-07,
42,50,0.162,1,13.2369,13.237,1e-07,
42,50,0.2,1e-07,1e-07,1e-07,1e-07,
42,50,0.2,0.2,1.50221,1.50224,1e-07,
42,50,0.2,0.4,5.42616,5.4261,1e-07,
42,50,0.2,0.6,9.01033,9.01034,1e-07,
42,50,0.2,0.8,12.0407,12.0408,1e-07,
42,50,0.2,1,14.6232,14.6233,1e-07,
42.5,50,0.0100001,1e-07,1e-07,1e-07,1e-07,
42.5,50,0.0100001,0.2,1e-07,1e-07,1e-07,
42.5,50,0.0100001,0.4,1e-07,1e-07,1e-07,
42.5,50,0.0100001,0.6,1e-07,1e-07,1e-07,
42.5,50,0.0100001,0.8,1e-07,1e-07,1e-07,
42.5,50,0.0100001,1,1e-07,1e-07,1e-07,
42.5,50,0.0480001,1e-07,1e-07,1e-07,1e-07,
42.5,50,0.0480001,0.2,1.00089e-07,1.00092e-07,1e-07,
42.5,50,0.0480001,0.4,0.000188638,0.000187792,1e-07,
42.5,50,0.0480001,0.6,0.0244656,0.0244407,1e-07,
42.5,50,0.0480001,0.8,0.274737,0.274704,1e-07,
42.5,50,0.0480001,1,1.14916,1.14921,1e-07,
42.5,50,0.0860001,1e-07,1e-07,1e-07,1e-07,
42.5,50,0.0860001,0.2,0.00314768,0.00314151,1e-07,
42.5,50,0.0860001,0.4,0.371738,0.371736,1e-07,
42.5,50,0.0860001,0.6,1.93899,1.93906,1e-07,
42.5,50,0.0860001,0.8,4.53133,4.53132,1e-07,
42.5,50,0.0860001,1,7.61407,7.61397,1e-07,
42.5,50,0.124,1e-07,1e-07,1e-07,1e-07,
42.5,50,0.124,0.2,0.186286,0.186274,1e-07,
42.5,50,0.124,0.4,2.20707,2.20711,1e-07,
42.5,50,0.124,0.6,5.41131,5.41124,1e-07,
42.5,50,0.124,0.8,8.74565,8.74559,1e-07,
42.5,50,0.124,1,11.8604,11.8604,1e-07,
42.5,50,0.162,1e-07,1e-07,1e-07,1e-07,
42.5,50,0.162,0.2,0.891823,0.891864,1e-07,
42.5,50,0.162,0.4,4.37071,4.37065,1e-07,
42.5,50,0.162,0.6,8.01902,8.01898,1e-07,
42.5,50,0.162,0.8,11.2475,11.2475,1e-07,
42.5,50,0.162,1,14.046,14.0461,1e-07,
42.5,50,0.2,1e-07,1e-07,1e-07,1e-07,
42.5,50,0.2,0.2,1.91024,1.91025,1e-07,
42.5,50,0.2,0.4,6.09178,6.09173,1e-07,
42.5,50,0.2,0.6,9.70414,9.70418,1e-07,
42.5,50,0.2,0.8,12.7013,12.7014,1e-07,
42.5,50,0.2,1,15.2346,15.2346,1e-07,
43,50,0.0100001,1e-07,1e-07,1e-07,1e-07,
43,50,0.0100001,0.2,1e-07,1e-07,1e-07,
43,50,0.0100001,0.4,1e-07,1e-07,1e-07,
43,50,0.0100001,0.6,1e-07,1e-07,1e-07,
43,50,0.0100001,0.8,1e-07,1e-07,1e-07,
43,50,0.0100001,1,1e-07,1e-07,1e-07,
43,50,0.0480001,1e-07,1e-07,1e-07,1e-07,
43,50,0.0480001,0.2,1.03718e-07,1.04067e-07,1e-07,
43,50,0.0480001,0.4,0.00107463,0.00107138,1e-07,
43,50,0.0480001,0.6,0.0718682,0.0718319,1e-07,
43,50,0.0480001,0.8,0.579403,0.579407,1e-07,
43,50,0.0480001,1,1.98652,1.98661,1e-07,
43,50,0.0860001,1e-07,1e-07,1e-07,1e-07,
43,50,0.0860001,0.2,0.0100968,0.0100845,1e-07,
43,50,0.0860001,0.4,0.641857,0.641884,1e-07,
43,50,0.0860001,0.6,2.72339,2.72344,1e-07,
43,50,0.0860001,0.8,5.7402,5.74013,1e-07,
43,50,0.0860001,1,9.06604,9.06595,1e-07,
43,50,0.124,1e-07,1e-07,1e-07,1e-07,
43,50,0.124,0.2,0.32733,0.327336,1e-07,
43,50,0.124,0.4,2.87892,2.87893,1e-07,
43,50,0.124,0.6,6.39125,6.39117,1e-07,
43,50,0.124,0.8,9.82902,9.829,1e-07,
43,50,0.124,1,12.9383,12.9384,1e-07,
43,50,0.162,1e-07,1e-07,1e-07,1e-07,
43,50,0.162,0.2,1.24383,1.24386,1e-07,
43,50,0.162,0.4,5.11945,5.11939,1e-07,
43,50,0.162,0.6,8.86182,8.86182,1e-07,
43,50,0.162,0.8,12.0732,12.0733,1e-07,
43,50,0.162,1,14.8162,14.8163,1e-07,
43,50,0.2,1e-07,1e-07,1e-07,1e-07,
43,50,0.2,0.2,2.38098,2.38097,1e-07,
43,50,0.2,0.4,6.77132,6.77129,1e-07,
43,50,0.2,0.6,10.3826,10.3827,1e-07,
43,50,0.2,0.8,13.3324,13.3325,1e-07,
43,50,0.2,1,15.8094,15.8095,1e-07,
43.5,50,0.0100001,1e-07,1e-07,1e-07,1e-07,
43.5,50,0.0100001,0.2,1e-07,1e-07,1e-07,
43.5,50,0.0100001,0.4,1e-07,1e-07,1e-07,
43.5,50,0.0100001,0.6,1e-07,1e-07,1e-07,
43.5,50,0.0100001,0.8,1e-07,1e-07,1e-07,
43.5,50,0.0100001,1,1e-07,1e-07,1e-07,
43.5,50,0.0480001,1e-07,1e-07,1e-07,1e-07,
43.5,50,0.0480001,0.2,2.10704e-07,2.09396e-07,1e-07,
43.5,50,0.0480001,0.4,0.00518753,0.00517787,1e-07,
43.5,50,0.0480001,0.6,0.18918,0.189146,1e-07,
43.5,50,0.0480001,0.8,1.12622,1.12627,1e-07,
43.5,50,0.0480001,1,3.21897,3.21904,1e-07,
43.5,50,0.0860001,1e-07,1e-07,1e-07,1e-07,
43.5,50,0.0860001,0.2,0.0291784,0.029159,1e-07,
43.5,50,0.0860001,0.4,1.05236,1.05241,1e-07,
43.5,50,0.0860001,0.6,3.69643,3.69643,1e-07,
43.5,50,0.0860001,0.8,7.0888,7.08871,1e-07,
43.5,50,0.0860001,1,10.5791,10.579,1e-07,
43.5,50,0.124,1e-07,1e-07,1e-07,1e-07,
43.5,50,0.124,0.2,0.546986,0.547013,1e-07,
43.5,50,0.124,0.4,3.66283,3.66281,1e-07,
43.5,50,0.124,0.6,7.42515,7.42509,1e-07,
43.5,50,0.124,0.8,10.9118,10.9118,1e-07,
43.5,50,0.124,1,13.9773,13.9774,1e-07,
43.5,50,0.162,1e-07,1e-07,1e-07,1e-07,
43.5,50,0.162,0.2,1.6844,1.68443,1e-07,
43.5,50,0.162,0.4,5.90934,5.90929,1e-07,
43.5,50,0.162,0.6,9.69873,9.69877,1e-07,
43.5,50,0.162,0.8,12.8663,12.8664,1e-07,
43.5,50,0.162,1,15.5393,15.5394,1e-07,
43.5,50,0.2,1e-07,1e-07,1e-07,1e-07,
43.5,50,0.2,0.2,2.91084,2.91081,1e-07,
43.5,50,0.2,0.4,7.45456,7.45456,1e-07,
43.5,50,0.2,0.6,11.0378,11.0379,1e-07,
43.5,50,0.2,0.8,13.9284,13.9284,1e-07,
43.5,50,0.2,1,16.3439,16.3439,1e-07,
44,50,0.0100001,1e-07,1e-07,1e-07,1e-07,
44,50,0.0100001,0.2,1e-07,1e-07,1e-07,
44,50,0.0100001,0.4,1e-07,1e-07,1e-07,
44,50,0.0100001,0.6,1e-07,1e-07,1e-07,
44,50,0.0100001,0.8,1e-07,1e-07,1e-07,
44,50,0.0100001,1,1.00001e-07,1.00001e-07,1e-07,
44,50,0.0480001,1e-07,1e-07,1e-07,1e-07,
44,50,0.0480001,0.2,2.48461e-06,2.46508e-06,1e-07,
44,50,0.0480001,0.4,0.0213287,0.0213075,1e-07,
44,50,0.0480001,0.6,0.447856,0.447852,1e-07,
44,50,0.0480001,0.8,2.02308,2.02316,1e-07,
44,50,0.0480001,1,4.89984,4.89983,1e-07,
44,50,0.0860001,1e-07,1e-07,1e-07,1e-07,
44,50,0.0860001,0.2,0.0762262,0.0762041,1e-07,
44,50,0.0860001,0.4,1.64115,1.64121,1e-07,
44,50,0.0860001,0.6,4.85379,4.85374,1e-07,
44,50,0.0860001,0.8,8.5414,8.54132,1e-07,
44,50,0.0860001,1,12.1059,12.106,1e-07,
44,50,0.124,1e-07,1e-07,1e-07,1e-07,
44,50,0.124,0.2,0.870695,0.870736,1e-07,
44,50,0.124,0.4,4.54918,4.54912,1e-07,
44,50,0.124,0.6,8.48977,8.48975,1e-07,
44,50,0.124,0.8,11.9708,11.9709,1e-07,
44,50,0.124,1,14.958,14.9581,1e-07,
44,50,0.162,1e-07,1e-07,1e-07,1e-07,
44,50,0.162,0.2,2.21696,2.21696,1e-07,
44,50,0.162,0.4,6.72524,6.72521,1e-07,
44,50,0.162,0.6,10.5156,10.5157,1e-07,
44,50,0.162,0.8,13.616,13.6161,1e-07,
44,50,0.162,1,16.2074,16.2074,1e-07,
44,50,0.2,1e-07,1e-07,1e-07,1e-07,
44,50,0.2,0.2,3.49263,3.49258,1e-07,
44,50,0.2,0.4,8.13069,8.13073,1e-07,
44,50,0.2,0.6,11.6622,11.6623,1e-07,
44,50,0.2,0.8,14.4841,14.4841,1e-07,
44,50,0.2,1,16.8347,16.8346,1e-07,
44.5,50,0.0100001,1e-07,1e-07,1e-07,1e-07,
44.5,50,0.0100001,0.2,1e-07,1e-07,1e-07,
44.5,50,0.0100001,0.4,1e-07,1e-07,1e-07,
44.5,50,0.0100001,0.6,1e-07,1e-07,1e-07,
44.5,50,0.0100001,0.8,1e-07,1e-07,1e-07,
44.5,50,0.0100001,1,1.04479e-07,1.04509e-07,1e-07,
44.5,50,0.0480001,1e-07,1e-07,1e-07,1e-07,
44.5,50,0.0480001,0.2,3.76475e-05,3.7435e-05,1e-07,
44.5,50,0.0480001,0.4,0.0750799,0.0750486,1e-07,
44.5,50,0.0480001,0.6,0.956822,0.956869,1e-07,
44.5,50,0.0480001,0.8,3.36722,3.36727,1e-07,
44.5,50,0.0480001,1,7.0207,7.02062,1e-07,
44.5,50,0.0860001,1e-07,1e-07,1e-07,1e-07,
44.5,50,0.0860001,0.2,0.180607,0.180594,1e-07,
44.5,50,0.0860001,0.4,2.43838,2.43841,1e-07,
44.5,50,0.0860001,0.6,6.17272,6.17264,1e-07,
44.5,50,0.0860001,0.8,10.0495,10.0495,1e-07,
44.5,50,0.0860001,1,13.594,13.5941,1e-07,
44.5,50,0.124,1e-07,1e-07,1e-07,1e-07,
44.5,50,0.124,0.2,1.32233,1.32237,1e-07,
44.5,50,0.124,0.4,5.51973,5.51966,1e-07,
44.5,50,0.124,0.6,9.55839,9.55841,1e-07,
44.5,50,0.124,0.8,12.9827,12.9828,1e-07,
44.5,50,0.124,1,15.8623,15.8624,1e-07,
44.5,50,0.162,1e-07,1e-07,1e-07,1e-07,
44.5,50,0.162,0.2,2.83855,2.83853,1e-07,
44.5,50,0.162,0.4,7.5497,7.5497,1e-07,
44.5,50,0.162,0.6,11.2984,11.2985,1e-07,
44.5,50,0.162,0.8,14.3124,14.3124,1e-07,
44.5,50,0.162,1,16.8138,16.8137,1e-07,
44.5,50,0.2,1e-07,1e-07,1e-07,1e-07,
44.5,50,0.2,0.2,4.11549,4.11545,1e-07,
44.5,50,0.2,0.4,8.78864,8.7887,1e-07,
44.5,50,0.2,0.6,12.2485,12.2485,1e-07,
44.5,50,0.2,0.8,14.9951,14.9951,1e-07,
44.5,50,0.2,1,17.2789,17.2788,1e-07,
45,50,0.0100001,1e-07,1e-07,1e-07,1e-07,
45,50,0.0100001,0.2,1e-07,1e-07,1e-07,
45,50,0.0100001,0.4,1e-07,1e-07,1e-07,
45,50,0.0100001,0.6,1e-07,1e-07,1e-07,
45,50,0.0100001,0.8,1.00042e-07,1.00043e-07,1e-07,
45,50,0.0100001,1,4.18356e-06,4.14915e-06,1e-07,
45,50,0.0480001,1e-07,1e-07,1e-07,1e-07,
45,50,0.0480001,0.2,0.000436658,0.000435129,1e-07,
45,50,0.0480001,0.4,0.227412,0.227391,1e-07,
45,50,0.0480001,0.6,1.85097,1.85104,1e-07,
45,50,0.0480001,0.8,5.20567,5.20563,1e-07,
45,50,0.0480001,1,9.48788,9.48779,1e-07,
45,50,0.0860001,1e-07,1e-07,1e-07,1e-07,
45,50,0.0860001,0.2,0.389328,0.38934,1e-07,
45,50,0.0860001,0.4,3.45703,3.45701,1e-07,
45,50,0.0860001,0.6,7.61059,7.61053,1e-07,
45,50,0.0860001,0.8,11.5546,11.5547,1e-07,
45,50,0.0860001,1,14.9886,14.9887,1e-07,
45,50,0.124,1e-07,1e-07,1e-07,1e-07,
45,50,0.124,0.2,1.91891,1.91893,1e-07,
45,50,0.124,0.4,6.54785,6.54781,1e-07,
45,50,0.124,0.6,10.602,10.6021,1e-07,
45,50,0.124,0.8,13.9245,13.9245,1e-07,
45,50,0.124,1,16.6735,16.6735,1e-07,
45,50,0.162,1e-07,1e-07,1e-07,1e-07,
45,50,0.162,0.2,3.53874,3.5387,1e-07,
45,50,0.162,0.4,8.36365,8.36369,1e-07,
45,50,0.162,0.6,12.0334,12.0335,1e-07,
45,50,0.162,0.8,14.9464,14.9464,1e-07,
45,50,0.162,1,17.3524,17.3524,1e-07,
45,50,0.2,1e-07,1e-07,1e-07,1e-07,
45,50,0.2,0.2,4.76517,4.76515,1e-07,
45,50,0.2,0.4,9.41739,9.41746,1e-07,
45,50,0.2,0.6,12.7901,12.7902,1e-07,
45,50,0.2,0.8,15.4573,15.4573,1e-07,
45,50,0.2,1,17.674,17.6739,1e-07,
45.5,50,0.0100001,1e-07,1e-07,1e-07,1e-07,
45.5,50,0.0100001,0.2,1e-07,1e-07,1e-07,
45.5,50,0.0100001,0.4,1e-07,1e-07,1e-07,
45.5,50,0.0100001,0.6,1e-07,1e-07,1e-07,
45.5,50,0.0100001,0.8,2.644e-07,2.62864e-07,1e-07,
45.5,50,0.0100001,1,0.00101166,0.00100817,1e-07,
45.5,50,0.0480001,1e-07,1e-07,1e-07,1e-07,
45.5,50,0.0480001,0.2,0.00378462,0.00377759,1e-07,
45.5,50,0.0480001,0.4,0.595562,0.595584,1e-07,
45.5,50,0.0480001,0.6,3.25256,3.25259,1e-07,
45.5,50,0.0480001,0.8,7.4931,7.49301,1e-07,
45.5,50,0.0480001,1,12.1163,12.1163,1e-07,
45.5,50,0.0860001,1e-07,1e-07,1e-07,1e-07,
45.5,50,0.0860001,0.2,0.765885,0.765924,1e-07,
45.5,50,0.0860001,0.4,4.68388,4.68382,1e-07,
45.5,50,0.0860001,0.6,9.10624,9.10623,1e-07,
45.5,50,0.0860001,0.8,12.9923,12.9924,1e-07,
45.5,50,0.0860001,1,16.2366,16.2366,1e-07,
45.5,50,0.124,1e-07,1e-07,1e-07,1e-07,
45.5,50,0.124,0.2,2.66467,2.66465,1e-07,
45.5,50,0.124,0.4,7.59959,7.5996,1e-07,
45.5,50,0.124,0.6,11.5908,11.5909,1e-07,
45.5,50,0.124,0.8,14.7748,14.7748,1e-07,
45.5,50,0.124,1,17.3772,17.3771,1e-07,
45.5,50,0.162,1e-07,1e-07,1e-07,1e-07,
45.5,50,0.162,0.2,4.29916,4.29912,1e-07,
45.5,50,0.162,0.4,9.14727,9.14733,1e-07,
45.5,50,0.162,0.6,12.7079,12.7079,1e-07,
45.5,50,0.162,0.8,15.51,15.51,1e-07,
45.5,50,0.162,1,17.8186,17.8185,1e-07,
45.5,50,0.2,1e-07,1e-07,1e-07,1e-07,
45.5,50,0.2,0.2,5.42459,5.42459,1e-07,
45.5,50,0.2,0.4,10.0063,10.0064,1e-07,
45.5,50,0.2,0.6,13.2812,13.2812,1e-07,
45.5,50,0.2,0.8,15.8674,15.8674,1e-07,
45.5,50,0.2,1,18.0183,18.0182,1e-07,
46,50,0.0100001,1e-07,1e-07,1e-07,1e-07,
46,50,0.0100001,0.2,1e-07,1e-07,1e-07,
46,50,0.0100001,0.4,1e-07,1e-07,1e-07,
